param_select_k__k,param_logit__C,mean_test_score,std_test_score,rank_test_score
250,0.01,0.8653087158256669,0.030901535343060085,1
200,0.05,0.8653087158256669,0.030901535343060085,1
250,0.02,0.8653087158256669,0.030901535343060085,1
200,0.02,0.8653087158256669,0.030901535343060085,1
500,0.01,0.8653087158256669,0.030901535343060085,1
400,0.01,0.8653087158256669,0.030901535343060085,1
300,0.01,0.8653087158256669,0.030901535343060085,1
150,0.01,0.8653087158256669,0.030901535343060085,1
500,0.005,0.8653087158256669,0.030901535343060085,1
400,0.005,0.8653087158256669,0.030901535343060085,1
200,0.01,0.8653087158256669,0.030901535343060085,1
250,0.005,0.8653087158256669,0.030901535343060085,1
200,0.003,0.8653087158256669,0.030901535343060085,1
300,0.005,0.8653087158256669,0.030901535343060085,1
400,0.003,0.8653087158256669,0.030901535343060085,1
500,0.003,0.8653087158256669,0.030901535343060085,1
300,0.003,0.8653087158256669,0.030901535343060085,1
200,0.005,0.8653087158256669,0.030901535343060085,1
300,0.02,0.8636133426409319,0.02910224191966835,19
400,0.02,0.8636133426409319,0.02910224191966835,19
500,0.02,0.8636133426409319,0.02910224191966835,19
150,0.02,0.8632772905750002,0.028779693287732038,22
150,0.05,0.8632772905750002,0.028779693287732038,22
150,0.005,0.8632772905750002,0.028779693287732038,22
250,0.003,0.8630972477446337,0.03147482654077317,25
300,0.05,0.8619588295167375,0.027635988280747033,26
250,0.05,0.8609320822301427,0.029107266724092286,27
400,0.05,0.8598366177372052,0.03084985976840241,28
150,0.003,0.8588103359011308,0.030375223909361086,29
500,0.05,0.854339739985862,0.03721177567649832,30
